signal_date,entry_date,exit_date,symbol,side,decision_price,entry_price,exit_price,return_pct,profit_usd,score,adx,z_dist,trend4h_slope,market_score,sector_score,rs_score,avg_dollar_vol_m,month
2025-03-19,2025-03-20,2025-03-26,ATO,BUY,150.75,150.83999633789062,150.16000366210938,-0.45080395935440476,-2.254019796772024,0.3123,24.648964030634456,0.72,0.0021,0.2,0.8,0.5,134.3,2025-03
2025-03-20,2025-03-21,2025-03-27,AMGN,BUY,315.0400085449219,311.82000732421875,305.7699890136719,-1.940227749483789,-9.701138747418945,0.4082,36.4369332555083,0.5,0.0024,0.2,0.4,1.0,960.7,2025-03
2025-03-20,2025-03-21,2025-03-27,AVGO,SELL,190.5399932861328,188.2100067138672,171.99000549316406,8.618033389352217,43.09016694676109,0.4063,26.486533792535916,-0.76,-0.0021,0.6,1.0,0.0,6820.4,2025-03
2025-03-21,2025-03-24,2025-03-28,AMGN,BUY,316.0400085449219,315.0,306.95001220703125,-2.55555168030754,-12.7777584015377,0.3013,35.14398669028916,0.6,0.0022,0.2,0.4,0.0,1069.2,2025-03
2025-03-25,2025-03-26,2025-04-01,AVGO,SELL,188.25999450683594,186.66000366210938,168.52000427246094,9.718203703930778,48.591018519653886,0.5277,24.380528280073044,-0.88,-0.0024,0.6,1.0,1.0,6820.2,2025-03
2025-03-25,2025-03-26,2025-04-01,DXCM,SELL,73.55000305175781,73.25,67.31999969482422,8.095563556553968,40.47781778276984,0.4069,27.539184908618356,-1.07,-0.0029,0.6,0.6,0.0,328.4,2025-03
2025-03-26,2025-03-27,2025-04-02,CMI,SELL,328.0199890136719,325.8500061035156,319.989990234375,1.7983783211220876,8.991891605610439,0.4534,22.638331926823643,-0.9,-0.0022,0.6,0.6,1.0,340.8,2025-03
2025-03-26,2025-03-27,2025-04-02,CCL,SELL,20.93000030517578,20.75,20.020000457763672,3.5180700830666414,17.590350415333205,0.411,32.09539891196376,-0.56,-0.0038,0.6,0.8,0.0,614.0,2025-03
2025-03-27,2025-03-28,2025-04-03,AMT,BUY,214.0399932861328,215.63999938964844,228.19000244140625,5.819886425189937,29.099432125949686,0.3826,37.583363618274845,1.06,0.0022,0.2,0.0,1.0,640.6,2025-03
2025-03-27,2025-03-28,2025-04-03,CFG,SELL,41.25,41.099998474121094,36.220001220703125,11.873473076868102,59.36736538434051,0.3037,28.91126786273432,-0.8,-0.0021,0.6,0.0,0.5,229.9,2025-03
